idx,prompt_kind,prompt_chars,max_tokens,mode,wall_s,ttft_s,output_tokens,status,error,started_at,ended_at
0,long,384,256,stream,4.659397906999857,0.11759518899998511,256,ok,,1776636440.3955123,1776636445.0549102
1,short,18,32,stream,0.6582883670002957,0.08690594700010479,32,ok,,1776636440.399353,1776636441.0576415
2,short,28,32,stream,0.6841436690001501,0.11274217900017902,32,ok,,1776636440.3996341,1776636441.083778
3,long,384,256,stream,4.654839107000043,0.11285071599968433,256,ok,,1776636440.3998897,1776636445.0547287
4,long,384,256,stream,4.65305665599999,0.11172459900035392,256,ok,,1776636440.4001174,1776636445.053174
5,long,384,256,stream,4.652948422000009,0.11166696700001921,256,ok,,1776636440.400335,1776636445.0532835
6,short,20,32,stream,0.6831132209999851,0.11158158899979753,32,ok,,1776636440.4005427,1776636441.083656
7,short,12,32,stream,0.6825538630000665,0.1105646229998456,32,ok,,1776636440.4008632,1776636441.083417
8,short,23,32,stream,0.6828327610000997,0.11172081600034289,32,ok,,1776636440.401156,1776636441.0839887
9,long,384,256,stream,4.6521177360000365,0.11115030400014803,256,ok,,1776636440.4013531,1776636445.0534708
10,short,29,32,stream,0.68226032199982,0.1110016520001409,32,ok,,1776636440.401625,1776636441.0838852
11,long,384,256,stream,4.651561925999886,0.11043215200015766,256,ok,,1776636440.4018183,1776636445.0533803
12,short,28,32,stream,0.681264645000283,0.10920985900020241,32,ok,,1776636440.4019988,1776636441.0832634
13,short,18,32,stream,0.6813724680000632,0.1094626019998941,32,ok,,1776636440.4021661,1776636441.0835385
14,long,384,256,stream,4.65268376899985,0.11088418500003172,256,ok,,1776636440.4023347,1776636445.0550184
15,short,28,32,stream,0.6815735180002775,0.11082536000003529,32,ok,,1776636440.4025128,1776636441.0840864
16,long,384,256,stream,4.585641444999965,0.05113406100008433,256,ok,,1776636441.0577056,1776636445.643347
17,short,28,32,stream,0.6157151709999198,0.07879551699988951,32,ok,,1776636441.084127,1776636441.6998422
18,short,18,32,stream,0.6154825779999555,0.07872072499958449,32,ok,,1776636441.084564,1776636441.7000465
19,short,20,32,stream,0.6354027530001076,0.09587214700013647,32,ok,,1776636441.085327,1776636441.7207296
20,short,18,32,stream,0.6350817090001328,0.09596677099989392,32,ok,,1776636441.0857527,1776636441.7208345
21,long,384,256,stream,4.666105841999979,0.09445628000003126,256,ok,,1776636441.0861876,1776636445.7522933
22,long,384,256,stream,4.665835948000222,0.09423558700018475,256,ok,,1776636441.08656,1776636445.7523959
23,long,384,256,stream,4.66525105799974,0.09289280199982386,256,ok,,1776636441.0869362,1776636445.7521873
24,short,20,32,stream,0.6329360900003849,0.09263895799995225,32,ok,,1776636441.0876987,1776636441.7206347
25,short,18,32,stream,0.6207840329998362,0.07654875500020353,32,ok,,1776636441.7001002,1776636442.3208842
26,long,384,256,stream,4.67060996500004,0.07626000399977784,256,ok,,1776636441.7006822,1776636446.371292
27,long,384,256,stream,4.667521806999957,0.07602033600005598,256,ok,,1776636441.7208693,1776636446.388391
28,long,384,256,stream,4.677429458000006,0.07309656799998265,256,ok,,1776636441.721254,1776636446.3986835
29,short,29,32,stream,0.6202423949998774,0.07204037100018468,32,ok,,1776636441.7215683,1776636442.3418107
30,short,29,32,stream,0.6217442790002679,0.08325951300002998,32,ok,,1776636442.3209267,1776636442.942671
31,short,18,32,stream,0.6147101040000962,0.0685296820001895,32,ok,,1776636442.3418524,1776636442.9565625
32,long,384,256,stream,4.682893243000308,0.07162716100037869,256,ok,,1776636442.9427142,1776636447.6256075
33,long,384,256,stream,4.68292249499973,0.0712633929997537,256,ok,,1776636442.9607072,1776636447.6436298
34,long,384,256,stream,4.716079417999936,0.08520278700007111,256,ok,,1776636445.055086,1776636449.7711654
35,short,20,32,stream,0.6416414280001845,0.08527805800031274,32,ok,,1776636445.0555952,1776636445.6972365
36,long,384,256,stream,4.706356381000205,0.08418554399986533,256,ok,,1776636445.0559359,1776636449.7622921
37,short,18,32,stream,0.6410574970000198,0.08474286699993172,32,ok,,1776636445.0562637,1776636445.6973212
38,short,29,32,stream,0.6407898429997658,0.08811118599987822,32,ok,,1776636445.056622,1776636445.6974118
39,short,29,32,stream,0.6400822129999142,0.08365840099986599,32,ok,,1776636445.0570493,1776636445.6971314
40,long,384,256,stream,4.7136329820000356,0.08422610000025088,256,ok,,1776636445.057424,1776636449.7710571
41,long,384,256,stream,4.723304318999908,0.10585850600000413,256,ok,,1776636445.6434073,1776636450.3667116
42,short,29,32,stream,0.673654309000085,0.13081956799987893,32,ok,,1776636445.6974502,1776636446.3711045
43,short,20,32,stream,0.6730681190001633,0.13029854700016585,32,ok,,1776636445.698136,1776636446.3712041
44,short,29,32,stream,0.6729279820001466,0.13242532599997503,32,ok,,1776636445.6984951,1776636446.3714232
45,long,384,256,stream,4.706808122999973,0.12827216699997734,256,ok,,1776636445.6998396,1776636450.4066477
46,short,18,32,stream,0.6358379419998528,0.0805725209997945,32,ok,,1776636445.752441,1776636446.388279
47,long,384,256,stream,4.678288293000151,0.0801331850002498,256,ok,,1776636445.7529962,1776636450.4312844
48,long,384,256,stream,4.677748463999706,0.0791050089997043,256,ok,,1776636445.753372,1776636450.4311204
49,short,12,32,stream,0.6949086019999413,0.14755065899998954,32,ok,,1776636446.3714616,1776636447.0663702
50,long,384,256,stream,4.7802897259998645,0.14708310000014535,256,ok,,1776636446.3723364,1776636451.152626
51,short,12,32,stream,0.6878031579999515,0.14131001299983836,32,ok,,1776636446.3788102,1776636447.0666134
52,short,23,32,stream,0.6872462810001707,0.14028648700013946,32,ok,,1776636446.37926,1776636447.0665064
53,long,384,256,stream,4.771487374000117,0.1389757780002583,256,ok,,1776636446.3891184,1776636451.160606
54,short,29,32,stream,0.6901472469999135,0.14312002299993765,32,ok,,1776636446.3894923,1776636447.0796394
55,short,29,32,stream,0.6801719209997827,0.13347720100000515,32,ok,,1776636446.3995578,1776636447.0797298
56,short,18,32,stream,0.6620835469998383,0.08702795899989724,32,ok,,1776636447.0666544,1776636447.728738
57,short,29,32,stream,0.6616168620003009,0.09043850600028236,32,ok,,1776636447.0672507,1776636447.7288675
58,short,18,32,stream,0.6613190939997367,0.09074064399965209,32,ok,,1776636447.067709,1776636447.729028
59,long,384,256,stream,4.719204257999991,0.07811579100007293,256,ok,,1776636447.0797758,1776636451.79898
60,short,23,32,stream,0.6488293459997294,0.078183505999732,32,ok,,1776636447.0801208,1776636447.7289503
61,short,28,32,stream,0.6686309420001635,0.10658041400029106,32,ok,,1776636447.6256642,1776636448.294295
62,long,384,256,stream,4.733051456000339,0.08489959300004557,256,ok,,1776636447.6446211,1776636452.3776727
63,short,20,32,stream,0.6727940040000249,0.12255310299997291,32,ok,,1776636447.7327526,1776636448.4055467
64,short,12,32,stream,0.6692912660000729,0.11837772499984567,32,ok,,1776636447.735966,1776636448.4052572
65,long,384,256,stream,4.756701658999646,0.1169764779997422,256,ok,,1776636447.7381856,1776636452.4948874
66,short,28,32,stream,0.6668566359999204,0.11645741299980727,32,ok,,1776636447.7385614,1776636448.405418
67,long,384,256,stream,4.730686757000058,0.07225879599991458,256,ok,,1776636448.294351,1776636453.0250378
68,short,12,32,stream,0.6554856269999618,0.09884560599994074,32,ok,,1776636448.4055896,1776636449.0610752
69,short,23,32,stream,0.6513733980000325,0.09338642900002014,32,ok,,1776636448.409598,1776636449.0609715
70,long,384,256,stream,4.760786073999952,0.09129758600010973,256,ok,,1776636448.4122095,1776636453.1729956
71,short,23,32,stream,0.6293339470003048,0.0702154900000096,32,ok,,1776636449.0611105,1776636449.6904445
72,long,384,256,stream,4.747802929000045,0.07220870099990861,256,ok,,1776636449.0616133,1776636453.8094163
73,short,29,32,stream,0.6395447810000405,0.07745094000028985,32,ok,,1776636449.6904922,1776636450.3300369
74,short,23,32,stream,0.6441279939999731,0.07708201700006612,32,ok,,1776636449.7623599,1776636450.406488
75,long,384,256,stream,4.755705218000003,0.07015710199993919,256,ok,,1776636449.7712584,1776636454.5269635
76,long,384,256,stream,4.755441005000193,0.06699188199991113,256,ok,,1776636449.7716427,1776636454.5270836
77,short,18,32,stream,0.6389137749997644,0.07066283399990425,32,ok,,1776636450.3300827,1776636450.9689965
78,short,20,32,stream,0.6371399280001242,0.08020737700007885,32,ok,,1776636450.36678,1776636451.00392
79,short,29,32,stream,0.6376040840000314,0.07580727200002002,32,ok,,1776636450.406714,1776636451.044318
80,long,384,256,stream,4.753511641999921,0.0728110319996631,256,ok,,1776636450.4092436,1776636455.1627553
81,short,23,32,stream,0.6313883879997775,0.06348121499968329,32,ok,,1776636450.433698,1776636451.0650864
82,long,384,256,stream,4.745695069999783,0.06081964599979983,256,ok,,1776636450.4341488,1776636455.179844
83,short,12,32,stream,0.6538417910001044,0.0703524689997721,32,ok,,1776636450.9690459,1776636451.6228876
84,long,384,256,stream,4.758635228000003,0.07596621899983802,256,ok,,1776636451.0039723,1776636455.7626076
85,short,29,32,stream,0.6514889860000039,0.10106099399990853,32,ok,,1776636451.0443683,1776636451.6958573
86,short,28,32,stream,0.6573860110001988,0.09129584600032103,32,ok,,1776636451.0651248,1776636451.7225108
87,short,28,32,stream,0.6439486489998671,0.07078829900001438,32,ok,,1776636451.1527317,1776636451.7966802
88,short,23,32,stream,0.6573023060000196,0.08258019999993849,32,ok,,1776636451.160707,1776636451.8180094
89,long,384,256,stream,4.758240635999755,0.07048585299980914,256,ok,,1776636451.6229324,1776636456.3811731
90,short,20,32,stream,0.6219352369998887,0.05558691299984275,32,ok,,1776636451.6959038,1776636452.317839
91,short,18,32,stream,0.6260507010001675,0.06958805800013579,32,ok,,1776636451.722587,1776636452.3486378
92,long,384,256,stream,4.775919216999682,0.08582448999959524,256,ok,,1776636451.7990472,1776636456.5749664
93,long,384,256,stream,4.775303155000074,0.08546530500007066,256,ok,,1776636451.7995305,1776636456.5748336
94,short,12,32,stream,0.635841777999758,0.06730855399973734,32,ok,,1776636451.8180504,1776636452.4538922
95,short,23,32,stream,0.6436521319997155,0.0803355139996711,32,ok,,1776636452.3178885,1776636452.9615407
96,long,384,256,stream,4.753126526000415,0.06855718400038313,256,ok,,1776636452.3486798,1776636457.1018064
97,short,20,32,stream,0.6198066329998255,0.05671621400006188,32,ok,,1776636452.377737,1776636452.9975436
98,long,384,256,stream,4.750665565999952,0.054282206000152655,256,ok,,1776636452.453931,1776636457.2045968
99,long,384,256,stream,4.7691494599998805,0.06905175499969118,256,ok,,1776636452.4949443,1776636457.2640939
100,short,28,32,stream,0.6458728749998954,0.08801578199972937,32,ok,,1776636452.9615874,1776636453.6074603
101,short,20,32,stream,0.6248406730001079,0.06943085600005361,32,ok,,1776636452.9975839,1776636453.6224246
102,long,384,256,stream,4.754669912000281,0.05367886300018654,256,ok,,1776636453.0254467,1776636457.7801166
103,short,23,32,stream,0.6355095179997079,0.0764644649998445,32,ok,,1776636453.1730897,1776636453.8085992
104,long,384,256,stream,4.7815985000002,0.07643934599991553,256,ok,,1776636453.6075008,1776636458.3890994
105,short,28,32,stream,0.6466217460001644,0.07875072000024375,32,ok,,1776636453.6224616,1776636454.2690833
106,long,384,256,stream,4.789108204999593,0.06030115199973807,256,ok,,1776636453.808718,1776636458.5978262
107,long,384,256,stream,4.788266222999937,0.059668277000128,256,ok,,1776636453.809707,1776636458.597973
108,long,384,256,stream,4.831430136000108,0.07343764300003386,256,ok,,1776636454.269127,1776636459.100557
109,long,384,256,stream,4.854529978999835,0.07035050500007856,256,ok,,1776636454.5271351,1776636459.3816652
110,short,29,32,stream,0.6352865310000197,0.07038133300011395,32,ok,,1776636454.5276184,1776636455.162905
111,long,384,256,stream,4.909667506000005,0.07293263900010061,256,ok,,1776636455.1629417,1776636460.0726092
112,short,23,32,stream,0.6454718670001967,0.0729294170000685,32,ok,,1776636455.1634827,1776636455.8089545
113,short,28,32,stream,0.646153902000151,0.07969588800006022,32,ok,,1776636455.179928,1776636455.826082
114,short,18,32,stream,0.6409667520001676,0.0594115089998013,32,ok,,1776636455.7626665,1776636456.403633
