run_id,timestamp,commit,model,task,method,limit,num_fewshot,seed,metric,value,stderr,delta,ci95_low,ci95_high,wall_s,mock_backend,notes
1,2026-04-19T20:19:43+00:00,c1f8fa0,mock/test-1b,hellaswag,baseline,30,,42,acc,0.000000,,,,,0.313143,true,baseline ablation
2,2026-04-19T20:19:43+00:00,c1f8fa0,mock/test-1b,hellaswag,length_norm,30,,42,acc,0.200000,,0.200000,0.066667,0.366667,0.045765,true,length_norm ablation
3,2026-04-19T20:19:43+00:00,c1f8fa0,mock/test-1b,hellaswag,byte_norm,30,,42,acc,0.000000,,0.000000,0.000000,0.000000,0.048196,true,byte_norm ablation
4,2026-04-19T20:19:44+00:00,c1f8fa0,mock/test-1b,hellaswag,clean_prompt,30,,42,acc,0.000000,,0.000000,0.000000,0.000000,0.413848,true,clean_prompt ablation
5,2026-04-19T20:19:44+00:00,c1f8fa0,mock/test-1b,hellaswag,clean_length_norm,30,,42,acc,0.200000,,0.200000,0.066667,0.366667,0.052092,true,clean_length_norm ablation
6,2026-04-19T20:19:46+00:00,c1f8fa0,mock/test-1b,hellaswag,fewshot_random_5,30,,42,acc,0.200000,,0.200000,0.066667,0.366667,0.792413,true,fewshot_random_5 ablation
7,2026-04-19T20:19:47+00:00,c1f8fa0,mock/test-1b,hellaswag,fewshot_semantic_5,30,,42,acc,0.200000,,0.200000,0.066667,0.366667,1.459442,true,fewshot_semantic_5 ablation
8,2026-04-19T22:07:18+00:00,ab32e50,Qwen/Qwen2.5-1.5B-Instruct,mmlu_stem,real_gpu_Qwen/Qwen2.5-1.5B-Instruct,200,,42,"acc,none",0.539219,0.009266,,,,645.443930,false,one-shot Colab run on T4
9,2026-04-19T22:07:18+00:00,ab32e50,Qwen/Qwen2.5-1.5B-Instruct,hellaswag,real_gpu_Qwen/Qwen2.5-1.5B-Instruct,200,,42,"acc_norm,none",0.630000,0.034225,,,,645.443930,false,one-shot Colab run on T4
10,2026-04-19T22:07:18+00:00,ab32e50,Qwen/Qwen2.5-1.5B-Instruct,custom_qa,real_gpu_Qwen/Qwen2.5-1.5B-Instruct,200,,42,"exact_match,exact_match",0.560000,0.070912,,,,645.443930,false,one-shot Colab run on T4
